Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp","$ T_{vib, O_2} $ (nexaFoam)_Temp"
2.2e-07,8590.42,26814.5,13816.6
2.21e-07,8610.58,26776.9,13751.6
2.22e-07,8630.67,26738.9,13687.1
2.23e-07,8650.71,26700.7,13623.3
2.24e-07,8670.69,26662.1,13560.2
2.25e-07,8690.61,26623.3,13497.6
2.26e-07,8710.46,26584.2,13435.8
2.27e-07,8730.26,26544.9,13374.6
2.28e-07,8749.99,26505.2,13314.0
2.29e-07,8769.65,26465.3,13254.2
2.3e-07,8789.25,26425.1,13195.0
2.31e-07,8808.78,26384.6,13136.4
2.32e-07,8828.24,26343.9,13078.6
2.33e-07,8847.64,26302.8,13021.4
2.34e-07,8866.96,26261.5,12965.0
2.35e-07,8886.21,26220.0,12909.2
2.36e-07,8905.39,26178.2,12854.1
2.37e-07,8924.49,26136.1,12799.6
2.38e-07,8943.52,26093.7,12745.9
2.39e-07,8962.48,26051.1,12692.9
2.4e-07,8981.36,26008.3,12640.6
2.41e-07,9000.17,25965.2,12589.0
2.42e-07,9018.89,25921.8,12538.0
2.43e-07,9037.54,25878.2,12487.8
2.44e-07,9056.11,25834.3,12438.3
2.45e-07,9074.6,25790.2,12389.5
2.46e-07,9093.02,25745.9,12341.4
2.47e-07,9111.35,25701.3,12294.0
2.48e-07,9129.6,25656.5,12247.3
2.49e-07,9147.77,25611.4,12201.3
2.5e-07,9165.86,25566.1,12156.0
2.51e-07,9183.86,25520.6,12111.4
2.52e-07,9201.78,25474.9,12067.5
2.53e-07,9219.62,25428.9,12024.3
2.54e-07,9237.38,25382.7,11981.8
2.55e-07,9255.05,25336.3,11940.0
2.56e-07,9272.63,25289.7,11898.9
2.57e-07,9290.14,25242.9,11858.5
2.58e-07,9307.55,25195.9,11818.8
2.59e-07,9324.89,25148.7,11779.8
2.6e-07,9342.13,25101.2,11741.4
2.61e-07,9359.3,25053.6,11703.8
2.62e-07,9376.37,25005.8,11666.8
2.63e-07,9393.36,24957.8,11630.5
2.64e-07,9410.27,24909.6,11594.9
2.65e-07,9427.09,24861.2,11559.9
2.66e-07,9443.82,24812.6,11525.6
2.67e-07,9460.46,24763.9,11492.0
2.68e-07,9477.02,24715.0,11459.0
2.69e-07,9493.5,24665.9,11426.7
2.7e-07,9509.89,24616.7,11395.1
2.71e-07,9526.19,24567.3,11364.1
2.72e-07,9542.41,24517.7,11333.7
2.73e-07,9558.54,24468.0,11304.0
2.74e-07,9574.58,24418.1,11274.9
2.75e-07,9590.54,24368.1,11246.4
2.76e-07,9606.41,24317.9,11218.6
2.77e-07,9622.2,24267.6,11191.3
2.78e-07,9637.91,24217.2,11164.7
